"","title","url","imdbRating","ratingCount","duration","year","type","nrOfWins","nrOfNominations","nrOfPhotos","nrOfNewsArticles","nrOfUserReviews","nrOfGenre","Action","Adult","Adventure","Animation","Biography","Comedy","Crime","Documentary","Drama","Family","Fantasy","FilmNoir","GameShow","History","Horror","Music","Musical","Mystery","News","RealityTV","Romance","SciFi","Short","Sport","TalkShow","Thriller","War","Western","Recommendation"
"4091","Plan","http://www.imdb.com/title/tt0364604/",4.3,"546","8940",2004,"video.movie","0","0","0","0",8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Fair"
"4096","Art School Confidential","http://www.imdb.com/title/tt0364955/",6.3,"13557","6120",2006,"video.movie","0","0","41","55",130,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Average"
"4097","The Assassination of Richard Nixon","http://www.imdb.com/title/tt0364961/",7,"21479","5700",2004,"video.movie","2","3","28","32",201,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Good"
"4098","Complicated Women","http://www.imdb.com/title/tt0365076/",7.7,"285","3300",2003,"video.movie","0","0","0","0",8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Good"
"4099","Enemy at the Gates: Through the Crosshairs","http://www.imdb.com/title/tt0365163/",7.8,"99","1140",2001,"video.movie","0","0","0","0",3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Good"
"4100","Ginger Snaps III: Der Anfang","http://www.imdb.com/title/tt0365265/",5.9,"6883","5640",2004,"video.movie","0","0","7","4",95,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Average"
"4101","Mord und Margaritas","http://www.imdb.com/title/tt0365485/",6.9,"37331","5760",2005,"video.movie","1","2","69","133",234,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Average"
"4102","Revolver","http://www.imdb.com/title/tt0365686/",6.5,"60077","6900",2005,"video.movie","1","0","20","140",456,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Average"
"4103","An deiner Schulter","http://www.imdb.com/title/tt0365885/",6.9,"16918","7080",2005,"video.movie","4","8","73","67",217,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Average"
"4104","Whiteout","http://www.imdb.com/title/tt0365929/",5.5,"27107","6060",2009,"video.movie","0","0","45","505",131,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Average"
"4105","The Call","http://www.imdb.com/title/tt0366292/",6.3,"12143","6720",2003,"video.movie","0","0","0","22",70,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Average"
